,shotgun,no_huddle,ydstogo,yardline_100,play_type,half_seconds_remaining,pass_length,run_location,score_differential,fg_prob,td_prob,ep
121,1,0,6,85.0,2,664.0,2.0,,7.0,0.11050755646844364,0.21001709753452028,-1.0776314189121026
124,1,0,10,62.0,2,50.0,2.0,,-10.0,0.1482400348414796,0.10351505588230256,0.7335316035272403
126,1,0,2,52.0,2,1263.0,2.0,,-3.0,0.2882216869614516,0.4188969468251815,2.284243884257988
127,1,0,7,25.0,1,1090.0,,3.0,-3.0,0.4952549481044216,0.3546983250318215,3.2200964979692563
130,1,0,5,73.0,2,528.0,2.0,,7.0,0.15192923546146747,0.25133313799437346,0.050078622561309016
131,1,0,3,38.0,2,310.0,2.0,,7.0,0.31125739738222963,0.3401418555123891,2.5354965759650443
133,1,0,1,55.0,1,41.0,,3.0,3.0,0.161606071607858,0.17426135621398334,1.4078781452741769
135,1,1,4,14.0,2,1418.0,2.0,,6.0,0.5390057073827468,0.3681438283089378,3.716229396983747
136,1,0,6,60.0,1,1285.0,,1.0,-13.0,0.2594800484527168,0.32924725413762884,0.9413383344879748
137,1,0,4,69.0,2,1115.0,1.0,,6.0,0.1991953150562684,0.3211360586693566,0.4064290034379838
138,0,0,1,1.0,1,670.0,,2.0,-6.0,0.19918756543230096,0.7487900760381881,5.659600210859074
140,1,0,8,57.0,2,417.0,2.0,,1.0,0.22962551645400395,0.2663590363368803,1.0149382075110562
142,1,0,10,75.0,2,227.0,2.0,,-4.0,0.10188054607321932,0.14889671164992116,-0.2720411036926762
143,1,1,2,55.0,2,150.0,2.0,,-4.0,0.16040427292069487,0.25196476415810504,1.3678401517468557
146,1,0,7,87.0,1,1158.0,,3.0,0.0,0.1137991957139272,0.2121394505614048,-1.6247797598633562
148,1,0,2,80.0,2,932.0,1.0,,0.0,0.13631083776722447,0.3082864194162067,-0.1122764429181391
149,1,0,6,39.0,1,815.0,,1.0,0.0,0.3907679511425478,0.3631461031626255,2.593189888297697
152,1,0,7,86.0,2,1181.0,1.0,,-14.0,0.11804626407703785,0.21654053186350955,-1.5481882274085097
153,1,0,4,80.0,2,1026.0,2.0,,14.0,0.14174336151794378,0.2715544234133401,-0.6018984959689666
154,1,0,4,68.0,2,909.0,2.0,,14.0,0.2010256814746305,0.32097006602240497,0.5488806135991833
155,0,0,1,40.0,1,849.0,,1.0,14.0,0.32905581195762273,0.4732159883976427,3.4054390833588237
157,1,0,10,47.0,1,513.0,,3.0,-14.0,0.3181275909856169,0.2991586757001529,1.7033055858033996
159,1,0,1,86.0,2,236.0,2.0,,7.0,0.06244906148734699,0.1860636454169028,0.013199275772371566
160,1,0,7,68.0,2,60.0,2.0,,0.0,0.12080799245850167,0.10064473612468136,0.6003470724009405
168,1,0,2,67.0,1,1387.0,,2.0,3.0,0.20323597960762504,0.3711756525182337,0.9834417067734542
170,1,0,1,55.0,1,310.0,,2.0,1.0,0.1893899127000114,0.3486958273323469,1.9999899839105064
174,1,0,13,89.0,2,1074.0,1.0,,11.0,0.10586363499296744,0.17633777278919274,-2.0884731762702544
175,1,0,5,66.0,2,897.0,1.0,,-18.0,0.21458290174198166,0.3152787754801605,0.593407292224176
176,1,0,2,20.0,2,729.0,1.0,,-18.0,0.4631195194861623,0.4166230660540952,3.811929469051756
184,1,0,2,67.0,1,1078.0,,3.0,0.0,0.2016340624682328,0.3714656832526134,1.0607796196290276
189,1,0,3,87.0,2,1625.0,2.0,,7.0,0.11143099709559973,0.25030824442706506,-1.2701867084984786
192,1,0,10,31.0,2,702.0,2.0,,-4.0,0.4541383605416276,0.3317042793594094,2.781245430876236
198,1,0,2,27.0,2,652.0,2.0,,0.0,0.4183128554716773,0.4202348245871403,3.575674098480268
200,1,0,3,17.0,2,35.0,2.0,,7.0,0.4524081074947414,0.20931413781551728,2.682537744498489
208,0,0,1,21.0,1,964.0,,3.0,0.0,0.4344480780397623,0.4642499754055621,4.075973305524944
209,1,0,7,70.0,2,719.0,2.0,,7.0,0.18645536320802025,0.2705699320564622,0.06636903017001439
211,0,0,1,1.0,1,252.0,,2.0,7.0,0.1887831269986557,0.7180735029747064,5.429303606010967
213,1,0,2,4.0,2,12.0,2.0,,14.0,0.5318620991083592,0.2215896142106657,3.0613298028233813
217,1,0,12,34.0,2,849.0,2.0,,21.0,0.4473926130978951,0.3265452670717445,2.5741604409000374
222,1,1,4,54.0,2,63.0,2.0,,-18.0,0.190879047514262,0.14610874591701245,1.2337281076653217
224,1,0,2,67.0,1,1551.0,,1.0,0.0,0.2030003988547973,0.3690385474571697,0.9361496065719936
225,1,0,4,27.0,2,987.0,2.0,,7.0,0.4598211885785407,0.38865565078977976,3.366497529451884
232,1,1,9,74.0,2,79.0,2.0,,-10.0,0.10308428082134354,0.08876202561557202,0.3885341234721694
235,1,0,1,60.0,2,1381.0,2.0,,-19.0,0.22896295649877085,0.4419152026954993,2.065113356354792
238,1,0,14,85.0,2,986.0,2.0,,-16.0,0.12198386025614227,0.18816409199893408,-1.7601161716934872
